Title,Summary,Catchy Titles
Guardianship Bill of Rights Act," Guardianship Bill of Rights Act This bill establishes programs and requirements to support the rights of older individuals and individuals with disabilities who are in guardianships, conservatorships, or other protective arrangements. Specifically, the bill requires the Department of Health and Human Services (HHS) to establish a Guardianship and Other Protective Arrangements and Supported Decisionmaking Council. The council must advise the Department of Justice on standards governing the inherent rights of older individuals (i.e., those 60 years of age or older) and individuals with disabilities who are in protective arrangements, including with respect to marital, reproductive, financial, and medical decisions. States and Indian tribes that fail to protect the rights of individuals in accordance with these standards may lose certain criminal justice grant funding.  The council must also advise HHS on standards for establishing, reviewing, and ending these types of protective arrangements, as well as for establishing alternative arrangements that are less restrictive. States must certify their compliance with these standards as a condition of certain grant funding for supportive services for individuals with disabilities. The bill also requires HHS to award grants to state and Indian tribe protection and advocacy systems for programs that provide oversight and monitoring of state and local protective arrangements, including training and legal resources for affected individuals.",More rights for older americans?
Cooper Davis Act," Cooper Davis Act This bill establishes requirements for electronic communication service providers and remote computing service providers to report knowledge of various drug-related offenses (e.g., unlawful distribution of a counterfeit controlled substance, fentanyl, or methamphetamine) to the Drug Enforcement Administration. ",Personal communication not private if it involves drugs (Cooper Davis Act)!
VET PFAS Act," Veterans Exposed to Toxic PFAS Act or the VET PFAS Act This bill provides eligibility for Department of Veterans Affairs (VA) hospital care and medical services to veterans and their family members (including those in utero) who have specified conditions and resided at a military installation where individuals were exposed to perfluoroalkyl and polyfluoroalkyl substances, commonly known as PFAS. PFAS are man-made and may have adverse human health effects. Hospital care and medical services may not be furnished for a condition that is found to have resulted from a cause other than the exposure to PFAS at a military installation. The VA may provide reimbursement for hospital care or medical services provided to a family member only after the family member or provider has exhausted all claims and remedies otherwise available for payment of such care. For disability compensation purposes, the bill establishes a presumption of service-connection for specified conditions in veterans who served at a military installation at which individuals were exposed to PFAS. Under a presumption of service-connection, specific conditions diagnosed in certain veterans are presumed to have been caused by the circumstances of their military service. Health care benefits and disability compensation may then be awarded.<br> ",Veterans exposed to toxic chemicals given more access to healthcare
CREST Act of 2023," Carbon Removal and Emissions Storage Technologies Act of 2023 or the CREST Act of 2023 This bill expands the current research and development programs of the Department of Energy (DOE) for capturing and storing carbon dioxide to include methods that harness natural processes, such as the removal of carbon dioxide from the atmosphere and its storage in geological, biobased, or ocean reservoirs. In addition, the bill establishes a five-year pilot program under which DOE must purchase from certain facilities carbon dioxide removed from the atmosphere or upper hydrosphere.",More research to combat climate change?
A resolution commending and congratulating the University of Connecticut men's basketball team for winning the 2023 National Collegiate Athletic Association Men's Basketball Championship., This resolution commends the University of Connecticut men's basketball team for winning the 2023 National Collegiate Athletic Association Men's Basketball Championship.,Congrats UCONN NCAA Champs!
"Department of Defense Appropriations Act, 2024"," Department of Defense Appropriations Act, 2024 This bill provides FY2024 appropriations to the Department of Defense (DOD) for military activities.  (The bill excludes military construction, military family housing, civil works projects of the Army Corps of Engineers, and nuclear warheads, which are all included in other appropriations bills.)  Within the DOD budget, the bill provides appropriations for <ul> <li>Military Personnel; </li> <li>Operation and Maintenance; </li> <li> Procurement; </li> <li> Research, Development, Test and Evaluation; and </li> <li> Revolving and Management Funds. </li> </ul> The bill provides appropriations for Other Department of Defense Programs, including  <ul> <li> the Defense Health Program, </li> <li>Chemical Agents and Munitions Destruction, </li> <li> Drug Interdiction and Counter-Drug Activities, and </li> <li> the Office of the Inspector General. </li> </ul> In addition, the bill provides appropriations for Related Agencies, including (1) the Central Intelligence Agency Retirement and Disability System Fund, and (2) the Intelligence Community Management Account.  The bill also sets forth requirements and restrictions for using funds provided by this and other appropriations acts.","Department of Defense Appropriations Act, 2024"
"Recognizing the value of the Older Americans Act of 1965 nutrition program in addressing hunger, malnutrition, and isolation, and improving the health and quality of life for millions of our Nations seniors each year."," This resolution recognizes the important role that local nutrition programs supported through the Older Americans Act of 1965 play in addressing senior hunger, malnutrition, and isolation.",Recognizing programs that help older americans
Pausing Enhanced Pandemic Pathogen Research Act of 2023," Pausing Enhanced Pandemic Pathogen Research Act of 2023 This bill generally prohibits the National Institutes of Health from conducting or supporting gain-of-function research through March 30, 2028. The bill defines <i>gain-of-function research </i>as any research that could enhance the transmissibility, virulence, or pathogenicity of any pathogen or non-pathogen agent in a way that could lead to (1) moderate or high transmissibility, virulence, or pathogenicity in human populations; (2) significant morbidity or mortality in humans; or (3) severe threats to public health or U.S. national security. The prohibition does not apply to the characterization or testing of naturally occurring influenza virus or coronavirus unless the characterization or testing could increase viral pathogenicity or transmissibility.",No more funding for Pandemic Pathogen Research
SAFE Act of 2023," Save America's Forgotten Equines Act of 2023 or the SAFE Act of 2023 This bill permanently prohibits the slaughter of equines (e.g., horses and mules) for human consumption. (Current law prohibits the slaughter of dogs and cats for human consumption. This bill extends the prohibition to equines.)  Specifically, this bill prohibits a person from knowingly  <ul> <li>slaughtering an equine for human consumption; or </li> <li>shipping, transporting, possessing, purchasing, selling, or donating an equine to be slaughtered for human consumption or equine parts for human consumption.</li> </ul> The bill subjects a violator to a fine. The bill applies to conduct in or affecting interstate or foreign commerce or within the special maritime and territorial jurisdiction of the United States. However, it does not apply to an activity carried out by an Indian for a religious ceremony. In recent years, appropriations acts have prohibited the Department of Agriculture (USDA) from using federal funds to inspect horses before they are slaughtered for human consumption. Therefore, there are currently no USDA-inspected horse slaughter facilities in the United States.",No more slaughter of horses for food?
Expressing support for the goals of Workplace Eye Wellness Month by promoting the importance of protecting the eyes from increased screen time., This bill supports the goals of Workplace Eye Wellness Month and encourages precautions to avoid workplace eye injuries.,Support for workplace eye wellness month
Supporting the teaching of climate change in schools., This resolution supports and encourages climate education in K-12 schools.,Teach climate change to our kids?
Creating Efficiency in Foreign Facility Inspections Act," Creating Efficiency in Foreign Facility Inspections Act This bill prohibits, with some exceptions, the Food and Drug Administration (FDA) from providing notification in advance of a planned inspection of an establishment located outside of the United States that is engaged in drug manufacturing, processing, packing, or holding. Specifically, the FDA may not provide such an establishment advance notification of a planned inspection unless (1) advance notification is required by the laws of the country where the establishment is located; (2) providing advance notification is needed to protect the public health; or (3) the inspection in question is a preapproval, prelicensure, or for-cause inspection. If the FDA must provide advance notification, it must minimize the time between the notification and the inspection.  If an establishment is located in a country that, on or after the date this bill is enacted, enacts a law requiring advance notification of inspections, the drug manufacturer must agree to waive the right to enforce the requirement, to the extent expressly permitted by the law.",No notice for FDA inspections?
Expanding Access to Low-Cost Generics Act of 2023," Expanding Access to Low-Cost Generics Act of 2023 This bill modifies provisions related to market exclusivity for a generic drug. Currently, the Food and Drug Administration (FDA) awards 180 days of exclusivity on the market to a first applicant to file a qualifying application for market approval of a generic drug. Generally, this exclusivity period begins upon a first applicant's commercial marketing of the drug. The bill authorizes the FDA to approve a subsequent generic drug application prior to a first applicant's first date of commercial marketing if (1) the subsequent application is ready for full approval, (2) the applicant certifies that there are no conditions that would prevent commercial marketing of the drug within 75 days of approval and that the applicant intends to do so, (3) a first applicant's application has been pending for at least 33 months, (4) the approval of a first applicant's application is not precluded by patent infringement claims asserted against that first applicant, and (5) no first applicant's application has been effectively approved on the date that all such conditions are met.  If an applicant fails to begin commercially marketing their drug within 75 days of approval via the aforementioned process, the applicant's approval is deemed tentative and the applicant is no longer eligible for subsequent approvals, unless the applicant certifies that the failure was due to unforeseen issues that have since been resolved. Additionally, the FDA must inform generic drug applicants, upon request or during review, whether the drug is qualitatively and quantitatively the same as the listed brand-name drug (and if not, the reasons why).",More access to generic drugs?
Trucking Workforce Improvement Act, Trucking Workforce Improvement Act This bill repeals the final rule of the Federal Motor Carrier Safety Administration that established new minimum training standards for entry-level commercial motor vehicle operators. ,Repeal minimum training requirements for truckers?
Tobacco Tax Equity Act of 2023, Tobacco Tax Equity Act of 2023 This bill increases the excise tax on cigarettes and cigars and equalizes tax rates among all other tobacco products. It also imposes a tax on nicotine for use in vaping.,More taxes for tobacco and vapes?
Taxpayer Notification and Privacy Act of 2023,"  Taxpayer Notification and Privacy Act of 2023  This bill modifies requirements for notifying a taxpayer of information that the Internal Revenue Service is seeking from third parties for tax administration purposes. Specifically it requires the notice to identify each specific item of information sought, extends the period during which the taxpayer must be notified, and gives the taxpayer a 45-days period during which the taxpayer may respond to the notice.",Notify taxpayers that the IRS wants your information
To amend the Communications Act of 1934 to extend the authority of the Federal Communications Commission to grant a license or construction permit through a system of competitive bidding.," This bill extends through June 30, 2023, the general authority of the Federal Communications Commission to conduct auctions for electromagnetic spectrum licenses. (This authority expired on March 9, 2023.)",FCC to conduct auctions for certain technologies
Employee Business Expense Deduction Reinstatement Act of 2023,"  Employee Business Expense Deduction Reinstatement Act of 2023 This bill reinstates the tax deduction for the itemized miscellaneous expenses of employees performing services in a trade or busines (the deduction is currently suspended for the period beginning in 2018 through 2025). The amount the an employee may take into account in computing the deduction is 85% of unreimbursed food, lodging, travel, or transportation expenses.  The bill also lowers the threshold for the deduction to the extent its aggregate amount exceeds 1% (2% under current law).",Tax deductions for employees misc services
"To provide for a limitation on availability of funds for Department of Labor, Office of Workers' Compensation Benefits, Cost of Administration for fiscal year 2024.", This bill limits FY2024 funding for the cost of administration of the Department of Labor's Office of Workers' Compensation Programs. ,Limit funding for Department of Labor's Office of Workers' Compensation Programs. 
"To provide for a limitation on availability of funds for Independent Agencies, Privacy and Civil Liberties Oversight Board, Salaries and Expenses for fiscal year 2024.", This bill limits FY2024 funding for the Privacy and Civil Liberties Oversight Board for salaries and expenses.,Limit funding for Privacy and Civil Liberties Oversight Board
"To provide for a limitation on availability of funds for Independent Agencies, Office of Personnel Management, Office of Inspector General, Administrative Expenses for fiscal year 2024.", This bill limits FY2024 funding for the administrative expenses of the Office of Personnel Management's Office of the Inspector General.,Limit funding for Office of the Inspector General and more
"To provide for a limitation on availability of funds for Independent Agencies, Postal Regulatory Commission, Salaries and Expenses for fiscal year 2024.", This bill limits FY2024 funding for the Postal Regulatory Commission for salaries and expenses.,Limit funding for Postal Regulatory Commission
